Crop,Days from Sowing (Start),Stage,Disease
cotton,0,Sowing,Seedling blight (Fusarium spp.)
cotton,10,Germination,Seedling blight (Fusarium spp.)
cotton,10,Germination,Root rot (Rhizoctonia solani)
cotton,20,Vegetative Stage,Alternaria leaf spot
cotton,20,Vegetative Stage,Bacterial blight
cotton,20,Vegetative Stage,Fusarium wilt
cotton,45,Square Formation,Gray mildew
cotton,45,Square Formation,Leaf curl virus
cotton,70,Flowering,Alternaria leaf spot
cotton,70,Flowering,Leaf curl virus
cotton,70,Flowering,Boll rot
cotton,90,Boll Development,Boll rot complex
cotton,90,Boll Development,Anthracnose
cotton,110,Maturity,Boll rot
cotton,110,Maturity,Sooty mold
cotton,120,Harvest,Boll rot remnants
cotton,120,Harvest,Fungal staining
chickpea,0,Sowing,Seed rot
chickpea,0,Sowing,Collar rot
chickpea,10,Germination,Damping-off
chickpea,10,Germination,Root rot
chickpea,20,Vegetative Stage,Fusarium wilt
chickpea,20,Vegetative Stage,Dry root rot
chickpea,70,Flowering,Ascochyta blight
chickpea,70,Flowering,Botrytis gray mold
chickpea,80,Pod Formation,Botrytis gray mold
chickpea,80,Pod Formation,Alternaria leaf spot
chickpea,110,Maturity,Dry root rot
chickpea,110,Maturity,Wilt
chickpea,120,Harvest,Pod rot
chickpea,120,Harvest,Seed discoloration fungi
toor,0,Sowing,Seed rot
toor,0,Sowing,Collar rot
toor,10,Germination,Damping-off
toor,10,Germination,Seedling blight
toor,20,Vegetative Stage,Fusarium wilt
toor,20,Vegetative Stage,Phytophthora blight
toor,70,Flowering,Sterility mosaic virus
toor,70,Flowering,Alternaria leaf spot
toor,80,Pod Formation,Phytophthora blight
toor,80,Pod Formation,Cercospora leaf spot
toor,110,Maturity,Fusarium wilt
toor,110,Maturity,Pod blight
toor,120,Harvest,Pod rot
toor,120,Harvest,Storage fungi
jowar,0,Sowing,Seed rot (Fusarium spp.)
jowar,0,Sowing,Damping-off (Pythium spp.)
jowar,10,Germination,Seedling blight (Fusarium spp.)
jowar,10,Germination,Downy mildew (Peronosclerospora sorghi)
jowar,20,Vegetative Stage,Anthracnose (Colletotrichum graminicola)
jowar,20,Vegetative Stage,Leaf blight (Exserohilum turcicum)
jowar,20,Vegetative Stage,Rust (Puccinia purpurea)
jowar,55,Booting,Downy mildew (Peronosclerospora sorghi)
jowar,55,Booting,Leaf blight (Exserohilum turcicum)
jowar,70,Flowering,Smut (Sphacelotheca reiliana)
jowar,70,Flowering,Ergot (Claviceps sorghi)
jowar,95,Grain Filling,Gray leaf spot (Cercospora sorghi)
jowar,95,Grain Filling,Anthracnose (Colletotrichum graminicola)
jowar,110,Maturity,"Grain mold complex (Fusarium, Curvularia, Alternaria)"
jowar,120,Harvest,Grain mold if delayed harvest
jowar,120,Harvest,Storage fungi (Aspergillus spp.)
Chickpea,10,Germination,Ascochyta Blight
Chickpea,10,Germination,Dry Root Rot
Chickpea,10,Germination,Rust
Chickpea,10,Germination,Botrytis Gray Mold
Chickpea,10,Germination,Healthy
Chickpea,10,Germination,Powdery Mildew
Chickpea,10,Germination,Collar Rot
Chickpea,10,Germination,Fusarium Wilt
Chickpea,120,Harvest,Collar Rot
Chickpea,120,Harvest,Ascochyta Blight
Chickpea,120,Harvest,Fusarium Wilt
Chickpea,120,Harvest,Rust
Chickpea,120,Harvest,Dry Root Rot
Chickpea,120,Harvest,Botrytis Gray Mold
Chickpea,120,Harvest,Healthy
Chickpea,120,Harvest,Powdery Mildew
Chickpea,90,Reproductive Stage,Botrytis Gray Mold
Chickpea,90,Reproductive Stage,Healthy
Chickpea,90,Reproductive Stage,Dry Root Rot
Chickpea,90,Reproductive Stage,Rust
Chickpea,90,Reproductive Stage,Ascochyta Blight
Chickpea,90,Reproductive Stage,Powdery Mildew
Chickpea,90,Reproductive Stage,Fusarium Wilt
Chickpea,90,Reproductive Stage,Collar Rot
Chickpea,20,Vegetative Stage,Rust
Chickpea,20,Vegetative Stage,Collar Rot
Chickpea,20,Vegetative Stage,Healthy
Chickpea,20,Vegetative Stage,Dry Root Rot
Chickpea,20,Vegetative Stage,Botrytis Gray Mold
Chickpea,20,Vegetative Stage,Powdery Mildew
Chickpea,20,Vegetative Stage,Ascochyta Blight
Chickpea,20,Vegetative Stage,Fusarium Wilt
Pigeon Pea,10,Germination,Seed Root Rot
Pigeon Pea,10,Germination,Damping Off
Pigeon Pea,0,Sowing,Collar Rot
Pigeon Pea,0,Sowing,Soil-Borne Wilt Infection
Pigeon Pea,20,Vegetative Stage,Fusarium Wilt
Pigeon Pea,20,Vegetative Stage,Sterility Mosaic Disease
Pigeon Pea,20,Vegetative Stage,Phytophthora Blight
Pigeon Pea,70,Flowering,Sterility Mosaic Disease
Pigeon Pea,70,Flowering,Powdery Mildew
Pigeon Pea,70,Flowering,Alternaria Leaf Spot
Pigeon Pea,80,Pod Formation,Pod Borer Damage (Helicoverpa)
Pigeon Pea,80,Pod Formation,Cercospora Leaf Spot
Chickpea,10,Germination,Damping off
Chickpea,10,Germination,Seed rot
Chickpea,20,Vegetative Stage,Leaf spot
Chickpea,10,Germination,Root rot
Chickpea,120,Harvest,Pod borer damage
Chickpea,120,Harvest,Soil-borne blight
Chickpea,90,Reproductive Stage,Dry root rot
Chickpea,20,Vegetative Stage,Fusarium wilt
Chickpea,20,Vegetative Stage,Ascochyta blight
Chickpea,90,Reproductive Stage,Botrytis gray mold
Chickpea,90,Reproductive Stage,Collar rot
Chickpea,120,Harvest,Wilt (late)
Corn,10,Germination,Maize Rust
Corn,20,Vegetative Stage,Downy Mildew
Corn,45,Squaring,Maydis Leaf Blight
Corn,70,Flowering,Turcicum Leaf Blight
Corn,90,Boll Development,Maize Streak Virus
Corn,10,Germination,Smut Disease
Corn,20,Vegetative Stage,Anthracnose Leaf Blight
Corn,45,Squaring,Fusarium Ear Rot
Corn,70,Flowering,Maize Mosaic Virus
Corn,90,Boll Development,Diplodia Ear Rot
Corn,10,Germination,Gray Leaf Spot
Corn,20,Vegetative Stage,Brown Stripe Downy Mildew
Corn,45,Squaring,Seedling Blight
Corn,70,Flowering,Southern Leaf Blight
Corn,90,Boll Development,Charcoal Rot
Corn,10,Germination,Pythium Root Rot
Corn,20,Vegetative Stage,Maize Leaf Blight
Corn,45,Squaring,Banded Leaf and Sheath Blight
Corn,70,Flowering,Head Smut
Corn,90,Boll Development,Northern Corn Leaf Blight
Cotton,0,Sowing,"Seed rot / damping-off (Rhizoctonia, Pythium)"
Cotton,0,Sowing,Seedling blight (Fusarium spp.)
Cotton,10,Germination,Seedling blight (Fusarium spp.)
Cotton,10,Germination,Root rot (Rhizoctonia solani)
Cotton,20,Vegetative Stage,Alternaria leaf spot
Cotton,20,Vegetative Stage,Bacterial blight
Cotton,20,Vegetative Stage,Fusarium wilt
Cotton,45,Square Formation,Gray mildew
Cotton,45,Square Formation,Leaf curl virus
Cotton,70,Flowering,Alternaria leaf spot
Cotton,70,Flowering,Leaf curl virus
Cotton,70,Flowering,Boll rot
Cotton,90,Boll Development,Boll rot complex
Cotton,90,Boll Development,Anthracnose
Cotton,110,Maturity,Boll rot
Cotton,110,Maturity,Sooty mold
Cotton,120,Harvest,Boll rot remnants
Cotton,120,Harvest,Fungal staining
Corn,120,Harvest,Stalk Borer
Corn,110,Maturity,Seed Rot
Corn,120,Harvest,Corn Smut
Corn,95,Grain Filling,Storage Fungus
Corn,95,Grain Filling,Stored Grain Mite
Corn,95,Grain Filling,Gibberella Rot
Corn,120,Harvest,Seed Rot
Corn,10,Germination,Pink Ear Rot
Corn,20,Vegetative Stage,Leaf Blight
Corn,72,Silking,Root Rot
Corn,110,Maturity,Stalk Borer
Corn,10,Germination,Seed Rot
Corn,120,Harvest,Charcoal Rot
Corn,120,Harvest,Kernel Anthracnose
Corn,120,Harvest,Soft Rot
Corn,72,Silking,Leaf Blight
Corn,72,Silking,Gray Leaf Spot
Corn,120,Harvest,Common Rust
Corn,110,Maturity,Soft Rot
Corn,95,Grain Filling,Cutworm Damage
Corn,72,Silking,Aflatoxin Contamination
Corn,120,Harvest,Moldy Grain
Corn,110,Maturity,Ear Rot
Corn,20,Vegetative Stage,Common Rust
Corn,120,Harvest,Tar Spot
Corn,7,Seedling Stage,Stored Grain Mite
Corn,110,Maturity,Armyworm Attack
Corn,10,Germination,Moldy Grain
Corn,10,Germination,Storage Fungus
Corn,10,Germination,Green Ear Disease
Corn,20,Vegetative Stage,Root Rot
Corn,10,Germination,Cutworm Damage
Corn,110,Maturity,Leaf Scald
Corn,95,Grain Filling,Seed Rot
Corn,72,Silking,Maize Grain Mold
Corn,72,Silking,Kernel Rot
Corn,95,Grain Filling,Pink Ear Rot
Corn,110,Maturity,Leaf Blight
Corn,120,Harvest,Stem Borer
Corn,120,Harvest,Leaf Scald
Corn,7,Seedling Stage,Cob Rot
Corn,95,Grain Filling,Leaf Blight
Corn,7,Seedling Stage,Gray Leaf Spot
Corn,95,Grain Filling,Armyworm Attack
Corn,120,Harvest,Cob Rot
Corn,120,Harvest,Ear Rot
Corn,7,Seedling Stage,Bacterial Spot
Corn,72,Silking,Pink Ear Rot
Corn,7,Seedling Stage,Aflatoxin Contamination
Corn,110,Maturity,Diplodia Ear Rot
Corn,95,Grain Filling,Stalk Borer
Corn,10,Germination,Kernel Rot
Corn,110,Maturity,Gibberella Rot
Corn,95,Grain Filling,Root Rot
Corn,110,Maturity,Corn Smut
Corn,72,Silking,Charcoal Rot
Corn,120,Harvest,Green Ear Disease
Corn,72,Silking,Storage Fungus
Corn,120,Harvest,Maize Streak Virus
Corn,120,Harvest,Armyworm Attack
Corn,120,Harvest,Bacterial Spot
Corn,120,Harvest,Common Rust
Corn,20,Vegetative Stage,Smut Infection
Corn,10,Germination,Charcoal Rot
Corn,110,Maturity,Pink Ear Rot
Corn,120,Harvest,Storage Fungus
Corn,120,Harvest,Stalk Borer
Corn,120,Harvest,Moldy Grain
Corn,10,Germination,Maize Streak Virus
Corn,72,Silking,Kernel Anthracnose
Corn,110,Maturity,Kernel Rot
Corn,72,Silking,Cob Rot
Corn,72,Silking,Cutworm Damage
Corn,20,Vegetative Stage,Maize Grain Mold
Corn,120,Harvest,Leaf Scald
Corn,110,Maturity,Root Rot
Corn,10,Germination,Bacterial Spot
Corn,20,Vegetative Stage,Gray Leaf Spot
Corn,10,Germination,Leaf Scald
Corn,72,Silking,Ear Rot
Corn,120,Harvest,Leaf Blight
Corn,20,Vegetative Stage,Moldy Grain
Corn,95,Grain Filling,Green Ear Disease
Corn,120,Harvest,Corn Smut
Corn,20,Vegetative Stage,Stalk Borer
Corn,120,Harvest,Ear Rot
Corn,120,Harvest,Root Rot
Corn,95,Grain Filling,Soft Rot
Corn,120,Harvest,Soft Rot
Corn,120,Harvest,Smut Infection
Corn,95,Grain Filling,Bacterial Spot
Corn,10,Germination,Ear Rot
Corn,110,Maturity,Green Ear Disease
Corn,10,Germination,Soft Rot
Corn,120,Harvest,Kernel Anthracnose
Corn,120,Harvest,Pink Ear Rot
Corn,7,Seedling Stage,Charcoal Rot
Corn,72,Silking,Seed Rot
Corn,7,Seedling Stage,Armyworm Attack
Corn,72,Silking,Gibberella Rot
Corn,20,Vegetative Stage,Kernel Rot
Corn,95,Grain Filling,Maize Streak Virus
Corn,7,Seedling Stage,Pink Ear Rot
Corn,20,Vegetative Stage,Kernel Anthracnose
Corn,10,Germination,Stored Grain Mite
Corn,120,Harvest,Stem Borer
Corn,110,Maturity,Kernel Anthracnose
Corn,72,Silking,Soft Rot
Corn,7,Seedling Stage,Stalk Borer
Corn,10,Germination,Tar Spot
Corn,20,Vegetative Stage,Bacterial Spot
Corn,7,Seedling Stage,Storage Fungus
Corn,120,Harvest,Leaf Blight
Corn,95,Grain Filling,Common Rust
Corn,72,Silking,Green Ear Disease
Corn,120,Harvest,Gray Leaf Spot
Corn,7,Seedling Stage,Maize Grain Mold
Corn,20,Vegetative Stage,Cutworm Damage
Corn,72,Silking,Corn Smut
Corn,20,Vegetative Stage,Pink Ear Rot
Corn,20,Vegetative Stage,Charcoal Rot
Corn,120,Harvest,Bacterial Spot
Corn,7,Seedling Stage,Kernel Anthracnose
Corn,95,Grain Filling,Maize Grain Mold
Corn,120,Harvest,Aflatoxin Contamination
Corn,95,Grain Filling,Leaf Scald
Corn,95,Grain Filling,Diplodia Ear Rot
Corn,72,Silking,Moldy Grain
Corn,10,Germination,Maize Grain Mold
Corn,10,Germination,Stalk Borer
Corn,20,Vegetative Stage,Gibberella Rot
Corn,7,Seedling Stage,Soft Rot
Corn,110,Maturity,Cob Rot
Corn,7,Seedling Stage,Leaf Blight
Corn,7,Seedling Stage,Diplodia Ear Rot
Corn,20,Vegetative Stage,Seed Rot
Corn,120,Harvest,Pink Ear Rot
Corn,120,Harvest,Stored Grain Mite
Corn,110,Maturity,Aflatoxin Contamination
Corn,120,Harvest,Gibberella Rot
Corn,110,Maturity,Cutworm Damage
Corn,95,Grain Filling,Aflatoxin Contamination
Corn,110,Maturity,Bacterial Spot
Corn,20,Vegetative Stage,Maize Streak Virus
Corn,20,Vegetative Stage,Storage Fungus
Corn,120,Harvest,Maize Grain Mold
Corn,72,Silking,Tar Spot
Corn,7,Seedling Stage,Cutworm Damage
Corn,20,Vegetative Stage,Stem Borer
Corn,72,Silking,Maize Streak Virus
Corn,95,Grain Filling,Moldy Grain
Corn,120,Harvest,Storage Fungus
Corn,7,Seedling Stage,Gibberella Rot
Corn,120,Harvest,Cutworm Damage
Corn,20,Vegetative Stage,Green Ear Disease
Corn,7,Seedling Stage,Moldy Grain
Corn,10,Germination,Cob Rot
Corn,95,Grain Filling,Gray Leaf Spot
Corn,20,Vegetative Stage,Aflatoxin Contamination
Corn,72,Silking,Leaf Scald
Corn,110,Maturity,Stem Borer
Corn,120,Harvest,Cutworm Damage
Corn,20,Vegetative Stage,Armyworm Attack
Corn,7,Seedling Stage,Corn Smut
Corn,20,Vegetative Stage,Cob Rot
Corn,7,Seedling Stage,Smut Infection
Corn,95,Grain Filling,Kernel Anthracnose
Corn,120,Harvest,Tar Spot
Corn,7,Seedling Stage,Tar Spot
Corn,10,Germination,Kernel Anthracnose
Corn,10,Germination,Leaf Blight
Corn,72,Silking,Stored Grain Mite
Corn,120,Harvest,Armyworm Attack
Corn,72,Silking,Armyworm Attack
Corn,120,Harvest,Diplodia Ear Rot
Corn,110,Maturity,Storage Fungus
Corn,10,Germination,Smut Infection
Corn,72,Silking,Diplodia Ear Rot
Corn,120,Harvest,Aflatoxin Contamination
Corn,110,Maturity,Maize Streak Virus
Corn,120,Harvest,Green Ear Disease
Corn,120,Harvest,Seed Rot
Corn,20,Vegetative Stage,Corn Smut
Corn,120,Harvest,Maize Grain Mold
Corn,95,Grain Filling,Smut Infection
Corn,7,Seedling Stage,Common Rust
Corn,110,Maturity,Charcoal Rot
Corn,120,Harvest,Smut Infection
Corn,72,Silking,Stalk Borer
Corn,120,Harvest,Kernel Rot
Corn,120,Harvest,Diplodia Ear Rot
Corn,120,Harvest,Maize Streak Virus
Corn,95,Grain Filling,Charcoal Rot
Corn,7,Seedling Stage,Stem Borer
Corn,7,Seedling Stage,Maize Streak Virus
Corn,110,Maturity,Moldy Grain
Corn,95,Grain Filling,Stem Borer
Corn,120,Harvest,Gray Leaf Spot
Corn,7,Seedling Stage,Ear Rot
Corn,10,Germination,Root Rot
Corn,10,Germination,Gibberella Rot
Corn,10,Germination,Stem Borer
Corn,20,Vegetative Stage,Ear Rot
Corn,110,Maturity,Smut Infection
Corn,120,Harvest,Root Rot
Corn,120,Harvest,Gibberella Rot
Corn,95,Grain Filling,Corn Smut
Corn,7,Seedling Stage,Green Ear Disease
Corn,72,Silking,Stem Borer
Corn,120,Harvest,Charcoal Rot
Corn,110,Maturity,Maize Grain Mold
Corn,7,Seedling Stage,Kernel Rot
Corn,20,Vegetative Stage,Stored Grain Mite
Corn,95,Grain Filling,Cob Rot
Corn,20,Vegetative Stage,Tar Spot
Corn,110,Maturity,Common Rust
Corn,20,Vegetative Stage,Leaf Scald
Corn,72,Silking,Bacterial Spot
Corn,95,Grain Filling,Kernel Rot
Corn,10,Germination,Aflatoxin Contamination
Corn,10,Germination,Diplodia Ear Rot
Corn,7,Seedling Stage,Seed Rot
Corn,95,Grain Filling,Tar Spot
Corn,10,Germination,Armyworm Attack
Corn,10,Germination,Corn Smut
Corn,110,Maturity,Gray Leaf Spot
Corn,95,Grain Filling,Ear Rot
Corn,7,Seedling Stage,Leaf Scald
Corn,20,Vegetative Stage,Soft Rot
Corn,120,Harvest,Cob Rot
Corn,110,Maturity,Stored Grain Mite
Corn,120,Harvest,Kernel Rot
Cotton,10,Germination,Pythium rot
Cotton,10,Germination,Bacterial wilt
Cotton,10,Germination,Fusarium wilt
Cotton,10,Germination,Seed rot
Cotton,10,Germination,Damping-off
Cotton,10,Germination,Seedling blight
Cotton,10,Germination,Root rot
Cotton,10,Germination,Cotton Root Burn
Cotton,10,Germination,Soil Fungus Rot
Cotton,10,Germination,Root Blight
Cotton,10,Germination,Early Shoot Decay
Cotton,10,Germination,Seedling Anthracnose
Cotton,10,Germination,Early Root Rot
Cotton,20,Vegetative Stage,Red Leaf Spot
Cotton,20,Vegetative Stage,Leaf Mosaic Infection
Cotton,20,Vegetative Stage,Cotton Rust
Cotton,20,Vegetative Stage,Leaf Curl Virus
Cotton,20,Vegetative Stage,Downy Mildew
Cotton,20,Vegetative Stage,Stem Canker
Cotton,70,Flowering,Blossom Mold
Cotton,70,Flowering,Flower Spot Disease
Cotton,70,Flowering,Flower Mildew
Cotton,70,Flowering,Petal Wilt Infection
Cotton,70,Flowering,Bud Rot
Cotton,70,Flowering,Flower Blight
Cotton,90,Boll Development,Boll Rot
Cotton,90,Boll Development,Internal Boll Fungus
Cotton,90,Boll Development,Boll Blight
Cotton,90,Boll Development,Boll Crack Infection
Cotton,90,Boll Development,Boll Soft Rot
Cotton,90,Boll Development,Cotton Boll Scab
Cotton,110,Maturity,Dry Stem Disease
Cotton,110,Maturity,Late Wilt
Cotton,110,Maturity,Mature Boll Rot
Cotton,110,Maturity,Sooty Mold
Cotton,110,Maturity,Harvest Blight
Cotton,110,Maturity,Fiber Mildew
Wheat,10,Germination,Seedling Blight
Wheat,10,Germination,Root Rot
Wheat,25,Tillering,Leaf Rust
Wheat,25,Tillering,Powdery Mildew
Wheat,40,Stem Elongation / Jointing,Stem Rust
Wheat,40,Stem Elongation / Jointing,Septoria Leaf Blotch
Wheat,55,Booting,Leaf Blotch
Wheat,55,Booting,Tan Spot
Wheat,65,Heading,Fusarium Head Blight
Wheat,65,Heading,Rust
Wheat,70,Flowering,Loose Smut
Wheat,70,Flowering,Ergot
Wheat,95,Grain Filling,Black Point
Wheat,95,Grain Filling,Glume Blotch
Wheat,110,Maturity,Karnal Bunt
Wheat,110,Maturity,Grain Discoloration
Pigeon Pea,20,Vegetative Stage,Leaf Spot
Pigeon Pea,20,Vegetative Stage,Alternaria Blight
Pigeon Pea,80,Pod Formation,Powdery Mildew
Pigeon Pea,70,Flowering,Viral Mosaic Infection
Pigeon Pea,110,Maturity,Dry Pod Rot
Pigeon Pea,7,Seedling Stage,Seedling Blight
Pigeon Pea,7,Seedling Stage,Collar Rot
Pigeon Pea,80,Pod Formation,Pod Borer
Pigeon Pea,70,Flowering,Bud Necrosis
Pigeon Pea,80,Pod Formation,Bacterial Blight
Pigeon Pea,7,Seedling Stage,Root Rot
Pigeon Pea,20,Vegetative Stage,Downy Mildew
Pigeon Pea,110,Maturity,Wilt
Pigeon Pea,70,Flowering,Phytophthora Blight
Pigeon Pea,70,Flowering,Flower Drop Disease
Pigeon Pea,10,Germination,Soil Fungus Infection
Pigeon Pea,110,Maturity,Stem Canker
Pigeon Pea,80,Pod Formation,Anthracnose
Pigeon Pea,10,Germination,Seed Rot
Pigeon Pea,110,Maturity,Root Rot
Pigeon Pea,10,Germination,Early Root Rot
Pigeon Pea,110,Maturity,Late Blight
Pigeon Pea,80,Pod Formation,Pod Blight
Pigeon Pea,10,Germination,Seed Mould
Pigeon Pea,7,Seedling Stage,Early Stem Rot
Pigeon Pea,7,Seedling Stage,Wilt
Corn,10,Germination,Seed Rot / Seedling Blight
Corn,7,Seedling Stage,Downy Mildew
Corn,20,Vegetative Stage,"Leaf Blight, Rust"
Corn,60,Tasseling,Smut
Corn,95,Grain Filling,Ear Rot / Cob Rot
Corn,110,Maturity,Stalk Rot
Cotton,70,Flowering,Grey Mildew
Cotton,70,Flowering,Anthracnose
Cotton,70,Flowering,Leaf Curl Virus
Cotton,70,Flowering,Damping-off
Cotton,70,Flowering,Root Rot
Cotton,70,Flowering,Fusarium Wilt
Cotton,70,Flowering,Bacterial Blight
Cotton,70,Flowering,Aphid Infestation
Cotton,0,Sowing,Damping-Off
Cotton,0,Sowing,Seed Rot
Cotton,0,Sowing,Root Knot Nematode
Cotton,20,Vegetative Stage,Bacterial Blight (Angular Leaf Spot)
Cotton,20,Vegetative Stage,Leaf Spot (Alternaria)
Cotton,20,Vegetative Stage,Cotton Leaf Curl Virus (CLCuV)
Cotton,20,Vegetative Stage,Powdery Mildew
Cotton,20,Vegetative Stage,Cotton Rust
Cotton,20,Vegetative Stage,Root Rot
Cotton,70,Flowering,Bacterial Blight (Boll Rot Phase)
Cotton,70,Flowering,Fusarium Wilt
Cotton,70,Flowering,Verticillium Wilt
Cotton,70,Flowering,Phymatotrichum Root Rot (Texas Root Rot)
Cotton,70,Flowering,Stemphylium Leaf Spot
Cotton,70,Flowering,Grey Mildew
Cotton,90,Boll Development,Boll Rot (various fungi)
Cotton,90,Boll Development,Alternaria Leaf Spot
Cotton,90,Boll Development,Areolate Mildew (Ramularia Leaf Spot)
Cotton,90,Boll Development,Anthracnose (Boll Rot)
Wheat,40,Stem Elongation / Jointing,Septoria spot
Wheat,40,Stem Elongation / Jointing,Leaf rust
Wheat,40,Stem Elongation / Jointing,Stripe rust
Wheat,40,Stem Elongation / Jointing,Fusarium
Chickpea,10,Germination,Collar Rot
Chickpea,10,Germination,Healthy
Chickpea,10,Germination,Wilt
Chickpea,10,Germination,Root Rot
Chickpea,12,Emergence,Healthy
Chickpea,12,Emergence,Root Rot
Chickpea,12,Emergence,Collar Rot
Chickpea,12,Emergence,Wilt
Wheat,65,Heading,Fusarium Head Blight (Scab)
Wheat,65,Heading,Karnal Bunt
Wheat,65,Heading,Stripe Rust / Yellow Rust
Wheat,65,Heading,Stem Rust / Black Rust
Wheat,65,Heading,Leaf Rust / Brown Rust
Wheat,65,Heading,Powdery Mildew
Wheat,65,Heading,Septoria Leaf Blotch
Wheat,65,Heading,Glume Blotch
Wheat,65,Heading,Loose Smut
Wheat,65,Heading,Flag Smut
Wheat,65,Heading,Bacterial Leaf Streak / Black Chaff
Wheat,65,Heading,Bacterial Leaf Blight
Wheat,65,Heading,Wheat Streak Mosaic Virus
Wheat,65,Heading,Barley Yellow Dwarf Virus
Soybean,10,Germination,Bacterial Blight
Soybean,20,Vegetative Stage,Powdery Mildew
Soybean,70,Flowering,Powdery Mildew
Soybean,95,Grain Filling,Anthracnose
Soybean,20,Vegetative Stage,Root Rot
Soybean,95,Grain Filling,Nematode Infection
Soybean,95,Grain Filling,Bacterial Blight
Soybean,20,Vegetative Stage,Anthracnose
Soybean,80,Pod Formation,Anthracnose
Soybean,80,Pod Formation,Powdery Mildew
Soybean,110,Maturity,Root Rot
Soybean,80,Pod Formation,Root Rot
Soybean,80,Pod Formation,Bacterial Blight
Soybean,10,Germination,Nematode Infection
Soybean,70,Flowering,Nematode Infection
Soybean,20,Vegetative Stage,Brown Spot
Soybean,110,Maturity,Anthracnose
Soybean,20,Vegetative Stage,Nematode Infection
Soybean,70,Flowering,Frogeye Leaf Spot
Soybean,70,Flowering,Bacterial Blight
Soybean,70,Flowering,Brown Spot
Soybean,70,Flowering,Soybean Rust
Soybean,70,Flowering,Root Rot
Soybean,70,Flowering,Anthracnose
Soybean,10,Germination,Frogeye Leaf Spot
Soybean,110,Maturity,Powdery Mildew
Soybean,20,Vegetative Stage,Frogeye Leaf Spot
Soybean,110,Maturity,Brown Spot
Soybean,95,Grain Filling,Powdery Mildew
Soybean,80,Pod Formation,Nematode Infection
Soybean,10,Germination,Brown Spot
Soybean,20,Vegetative Stage,Bacterial Blight
Soybean,110,Maturity,Soybean Rust
Soybean,10,Germination,Root Rot
Soybean,10,Germination,Anthracnose
Soybean,10,Germination,Powdery Mildew
Soybean,20,Vegetative Stage,Soybean Rust
Soybean,110,Maturity,Bacterial Blight
Soybean,80,Pod Formation,Brown Spot
Soybean,80,Pod Formation,Frogeye Leaf Spot
Soybean,95,Grain Filling,Brown Spot
Soybean,80,Pod Formation,Soybean Rust
Soybean,95,Grain Filling,Soybean Rust
Soybean,110,Maturity,Frogeye Leaf Spot
Soybean,10,Germination,Soybean Rust
Soybean,95,Grain Filling,Root Rot
Soybean,95,Grain Filling,Frogeye Leaf Spot
